Time,Calls in SL,BH,Hoop,Wait T,C,Floor,IB Calls,OB Calls,IB Voicemail Calls,IB Forwarded Calls,IB Overflow Calls,IB Regular Calls,Aban In Queue,Avg. Wait Time,SL %,SL % - 18s,IB Regular Calls Completed,IB Handled,IB AHT,OB Handled,OB AHT
1/4/2021 16:30,4,Business Hours,33,60,217,33,5,0,0,0,0,5,0,15,0.75,0.75,4,4,298,0,
1/4/2021 16:30,1,Business Hours,33,9,218,33,1,0,0,0,0,1,0,9,1,1,1,1,145,0,
1/4/2021 17:00,5,Business Hours,34,233,219,34,9,0,0,0,0,9,2,38.89,0.56,0.44,6,6,251,0,
1/4/2021 17:00,2,Business Hours,34,7,220,34,2,0,0,0,0,2,0,7,1,1,1,1,289,0,
1/4/2021 17:30,8,Business Hours,35,531,221,35,15,0,0,1,0,14,2,53.08,0.58,0.58,10,10,229,0,
1/4/2021 18:00,0,Business Hours,36,0,222,36,7,0,0,0,7,0,0,,,,0,0,,0,
1/4/2021 18:00,0,Business Hours,36,0,223,36,9,0,4,0,1,4,0,0,,,4,0,,0,
1/4/2021 18:30,0,Business Hours,37,0,224,37,2,0,0,0,2,0,0,,,,0,0,,0,
1/4/2021 18:30,0,Business Hours,37,0,225,37,4,0,0,0,1,3,0,0,,,2,0,,0,
1/4/2021 19:00,0,Business Hours,38,0,226,38,2,0,0,0,2,0,0,,,,0,0,,0,
1/4/2021 19:00,0,Business Hours,38,0,227,38,4,0,2,0,1,1,0,0,,,1,0,,0,
1/4/2021 19:30,0,Business Hours,39,0,228,39,8,0,0,0,8,0,0,,,,0,0,,0,
1/4/2021 19:30,0,Business Hours,39,0,229,39,12,0,5,0,2,5,0,0,,,5,0,,0,
1/4/2021 20:00,0,Business Hours,40,0,230,40,8,0,0,0,8,0,0,,,,0,0,,0,
1/4/2021 20:00,0,Business Hours,40,0,231,40,12,0,3,0,2,7,0,0,,,5,0,,0,
